BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.11,4.21,94.86,31.19,26.7,21.5,1
-0.14,4.17,90.8,31.22,26.7,21.6,1
0.02,3.42,85.78,31.31,26.7,21.6,1
0.01,2.91,73.28,31.4,26.7,21.6,1
0.01,2.41,60.45,31.51,26.7,21.7,1
-0.01,2.21,71.89,31.61,26.7,21.8,1
0,3.12,89.22,31.72,26.7,21.8,1
0.01,3.77,77.22,31.8,26.7,21.8,1
0.05,3.37,70.16,31.91,26.7,22,1
-0.06,3.25,90.54,32.02,26.8,22,1
0.01,2.88,86.96,32.12,26.8,22,1
-0.02,3.18,106.62,32.2,26.8,21.9,1
0,3.4,120.26,32.27,26.8,21.8,1
0.01,3.07,129.02,32.31,26.8,21.7,1
0.04,2.59,142.71,32.34,26.8,21.7,1
-0.03,2.22,106.42,32.4,26.8,21.7,1
0.01,2.36,98.28,32.45,26.8,21.7,1
0.09,3.79,90.46,32.5,26.8,21.6,1
-0.1,3.3,87.38,32.51,26.8,21.5,1
0,3.35,93.98,32.52,26.8,21.5,1
0,3.45,75.93,32.55,26.9,21.5,1
-0.01,3.94,69.38,32.59,26.9,21.5,1
0,4.1,88.45,32.62,26.9,21.5,1
-0.01,4.69,93.92,32.65,26.9,21.6,1
0.01,4.4,89.75,32.68,26.9,21.7,1
-0.01,4.39,95.62,32.73,26.9,21.7,1
0,4.57,97.58,32.78,26.9,21.6,1
0,4.24,83.22,32.82,26.9,21.7,1
0,3.87,91.86,32.85,26.9,21.7,1
0,4.43,88.13,32.9,26.9,21.8,1
0,3.83,74.85,32.93,26.9,22,1
0,3.34,90.22,32.97,26.9,22.2,1
0,2.91,105.69,33.02,26.9,21.9,1
0.01,3.64,90.53,33.06,26.9,21.9,1
-0.01,2.99,77.03,33.1,26.9,21.9,1
0.01,2.46,82.79,33.13,26.9,22,1
-0.01,2.51,85.6,33.14,26.9,21.9,1
0,3.67,88.9,33.15,27,21.9,1
0,4.13,100.13,33.16,27,22,1
0,3.49,101.33,33.17,27,22.1,1
0,3.14,90.46,33.2,27,22,0
0,2.52,98.19,33.25,27,22.1,0
-0.01,2.48,96.07,33.3,27,22.1,0
0.01,2.7,92.79,33.34,27,22,0
0,2.68,95.24,33.35,27,22,0
0,2.71,101.99,33.34,27,22,0
-0.01,2.24,103.33,33.35,27,22,0
0,1.83,98.17,33.36,27,21.9,0
0,1.53,111.55,33.38,27,21.9,0
0.01,1.33,124.79,33.42,27,22,0
0,1.13,104.77,33.45,27,22.1,0
-0.01,0.99,67.87,33.48,27,22,0
0,0.88,75.08,33.52,27,21.9,0
0,0.79,97.82,33.55,27,21.8,0
0.01,1.42,91.03,33.58,27,21.8,0
-0.01,4.56,98.45,33.61,27,21.8,0
0.03,3.96,121.67,33.61,27,21.8,0
-0.02,4.23,125.36,33.59,27,21.9,0
-0.01,3.42,100.39,33.58,27,22,0
-0.02,3.26,97.05,33.59,27,22,0
0.02,4.34,90,33.63,27,22.1,0
0,4.92,94.8,33.63,27,22.1,0
0,4.82,121.48,33.63,27,22.2,0
0.01,5.01,106.72,33.62,27,22.4,0
-0.01,4.33,113.53,33.6,27,22.6,0
0,4.89,144.36,33.58,27,22.4,0
0.03,3.95,116.92,33.59,27,22.9,0
-0.05,3.46,90.41,33.61,27.1,22.7,0
0.03,3.45,97.71,33.64,27.1,22.7,0
0.02,2.73,78.93,33.68,27.1,22.6,0
-0.02,2.9,72.49,33.71,27.1,22.8,0
0,2.53,84.24,33.75,27.1,22.7,0
0,2.1,79.75,33.79,27.1,22.7,0
0,1.81,65,33.82,27.1,22.8,0
-0.01,1.51,75.09,33.85,27.1,22.8,0
0,3.29,110.91,33.86,27.1,22.9,0
0.01,3.58,114.8,33.88,27.1,22.8,0
0,4.89,115.12,33.9,27.1,22.7,0
0,4.73,117.76,33.91,27.1,22.9,0
0,4.2,102.46,33.89,27.1,22.9,0
0,4.47,94.04,33.83,27.3,23.5,0
-0.13,4.67,88.17,33.79,27.5,23.8,0
0.18,0.1,65.69,36.53,23.2,34,0
0.85,0.08,61.88,35.86,23.2,33.3,0
0.21,0.14,73.71,35.48,23.3,33,0
-1.32,0.16,84.06,35.28,23.3,32.8,0
1.02,0.23,98.66,35.11,23.4,32.6,0
-0.87,0.24,81.49,35.03,23.4,32.5,0
0.21,0.17,63.86,34.89,23.5,32.3,0
0.31,0.11,75.4,34.78,23.5,32.2,0
-1.42,0.13,80.27,34.68,23.5,32.2,0
1.5,0.11,90.35,34.68,23.6,32.1,0
-0.86,0.12,83.32,34.71,23.6,32.1,0
-0.26,0.12,89.45,34.8,23.6,32,0
0.52,0.13,79.47,34.91,23.6,32,0
-0.4,0.14,80.51,35,23.7,31.9,0
0.46,0.18,80.05,35.03,23.7,31.8,0
-0.01,0.18,82.18,35.01,23.7,31.7,0
0.46,0.21,76.27,34.99,23.7,31.7,0
-0.54,0.28,79.67,34.88,23.8,31.6,0
-0.05,0.25,77.32,34.77,23.8,31.5,0
-0.18,0.29,67.02,34.68,23.8,31.6,0
0.29,0.27,84.39,34.67,23.8,31.5,0
2.06,0.24,77.89,34.79,23.8,31.4,0
-2.72,0.23,79.75,34.82,23.9,31.3,0
1.17,0.26,83.37,34.79,23.9,31.3,0
0.4,0.39,80.65,34.68,23.9,31.3,0
-1.06,0.43,80.63,34.76,23.9,31.3,0
-0.16,0.44,84.99,34.82,23.9,31.2,0
0.3,0.42,84.85,34.82,24,31.2,0
-0.49,0.69,78.99,34.85,24,31.1,0
0.69,1.38,81.25,34.96,24,31.1,0
-0.35,1.76,85.93,35.06,24,31.1,0
0.07,1.93,81.53,35.06,24,31,0
1.08,2.14,81.11,35.04,24,31,0
-1.11,1.72,77.35,35.21,24.1,31,0
0.72,1.29,77.88,35.28,24.1,30.9,0
-0.74,1.24,82.3,35.26,24.1,30.9,0
0.04,2.11,78.78,35.34,24.1,31,1
0.74,1.95,81.61,35.41,24.1,31,1
-1.73,1.37,84.52,35.22,24.1,31,1
0.95,1.49,82.87,35.22,24.1,30.9,1
0.31,1.42,79.31,35.3,24.1,30.8,1
-0.1,1.32,89.94,35.32,24.2,30.9,1
0.25,1.01,88.33,35.28,24.2,30.8,1
-2.09,0.99,100.36,35.23,24.2,30.8,1
2.36,1.15,91.54,35.09,24.2,30.8,1
-0.48,1.21,103.81,35.09,24.2,30.8,1
0.39,1.17,81.73,35.04,24.2,30.8,1
-0.19,0.88,72.75,34.98,24.2,30.8,1
0.08,1.22,77.62,34.94,24.2,30.7,1
-0.4,2.39,77.04,34.96,24.3,30.7,1
0.12,1.67,78.56,34.9,24.3,30.8,1
-0.3,1,83.85,34.9,24.3,30.8,1
0.12,0.61,77.94,34.98,24.3,30.7,1
-0.44,0.43,76.31,34.98,24.3,30.7,1
0.54,0.35,80.16,34.97,24.3,30.7,1
0,0.38,80.83,34.8,24.3,30.7,1
-0.38,0.37,83.2,35.04,24.3,30.8,1
0.42,1.75,82.29,35.15,24.3,30.7,1
0.11,2.34,76.09,35.16,24.3,30.7,1
-0.54,1.95,81.65,35.07,24.4,30.7,1
0.63,2.16,83,35.09,24.4,30.7,1
-0.25,1.42,90.37,35.23,24.4,30.7,1
-0.1,0.94,100.08,35.21,24.4,30.7,1
0.02,0.67,109.88,35.12,24.4,30.7,1
0,0.53,91.68,35.08,24.4,30.7,1
0.02,0.37,76.85,35.01,24.4,30.7,1
1.04,0.3,88.38,34.92,24.4,30.7,1
-1.17,0.24,88.85,34.76,24.4,30.8,1
-0.86,0.25,81.32,34.65,24.4,31,1
1.82,0.25,87.25,34.35,24.4,31,1
-0.63,0.27,83.86,34.27,24.4,31,1
-1.09,0.26,81.3,34.42,24.5,31.2,1
0.66,0.24,82.82,34.47,24.5,31.3,1
0.26,0.23,81.7,34.5,24.5,31.5,1
-0.06,0.52,80.6,34.5,24.5,31.6,1
-0.12,1.15,102.94,34.46,24.5,31.7,1
0.21,1.23,100.95,34.47,24.5,31.8,1
0.04,0.81,82.87,34.52,24.5,31.8,1
-0.03,0.51,84.95,34.49,24.5,31.9,1
0.41,0.4,84.64,34.4,24.5,31.9,1
-0.33,0.29,73.6,34.44,24.6,32.1,1
-0.08,0.23,85.31,34.45,24.6,31.7,1
0.25,0.19,81.46,34.39,24.6,31.8,1
-0.78,0.13,87.21,34.4,24.6,32.3,1
0.66,0.11,74.64,34.41,24.6,32.7,1
-0.32,0.14,80.31,34.51,24.6,32.2,1
0.14,0.14,82.25,34.55,24.6,32.1,1
-0.15,0.16,80.43,34.34,24.7,32.3,1
0.05,0.18,78.04,34.7,24.7,32.3,1
-0.01,0.17,76.85,34.92,24.7,31.8,1
0.12,0.17,81.53,35,24.7,32.4,1
-0.05,0.14,84.88,34.97,24.8,32.3,1
