BVP,EDA,HR,TEMP,Tin,Rhin,TSV
0.05,1.67,78,34.05,23.6,29.7,1
-0.18,1.62,75.64,34.07,23.6,29.6,1
0.29,1.67,74.26,34.1,23.6,29.5,1
1.39,1.2,81.6,34.12,23.6,29.7,1
-1.68,2.14,73.11,34.06,23.6,29.5,1
0.13,2.5,78.05,34.08,23.6,29.6,1
-0.17,0.89,87.64,33.92,23.6,29.6,1
1.51,1.08,93.01,34.08,23.6,29.6,1
-1.38,1,97.71,34.18,23.6,29.5,1
-0.04,1.7,78.76,34.3,23.6,29.6,1
0.49,1.48,83.14,34.3,23.6,29.6,1
-0.52,0.73,81.48,34.24,23.6,29.5,1
-0.46,0.5,72.82,34.13,23.6,29.5,1
0.68,0.46,72.91,34.03,23.6,29.6,1
-0.58,0.42,72.68,33.99,23.6,29.8,1
0.85,0.43,70.18,33.95,23.6,29.6,1
-0.16,0.68,70.79,33.96,23.6,29.7,1
-0.66,0.58,79.73,33.97,23.6,29.7,1
0.07,0.62,77.64,33.99,23.6,29.8,1
0.03,0.79,73.09,34.06,23.6,29.8,1
0.25,0.85,71.85,34.14,23.6,29.7,1
-0.02,0.72,70.59,34.17,23.6,29.7,1
0.01,0.35,71.39,34.27,23.7,29.7,1
-0.46,0.57,71.56,34.37,23.7,29.7,1
1.33,0.21,70.28,34.48,23.7,29.8,1
-1.55,0.77,72.27,34.54,23.7,29.8,1
1.25,0.72,73.38,34.6,23.7,29.9,1
-0.42,1.01,72.13,34.67,23.7,29.9,1
0.26,0.67,72.29,34.74,23.7,29.9,1
0.3,0.84,74.5,34.77,23.7,29.9,1
-0.73,1,76.92,34.87,23.7,29.9,1
2.15,1.14,87.38,34.9,23.7,29.9,1
-1.92,0.91,87.84,34.87,23.7,30,1
-0.49,0.83,89.41,34.7,23.7,29.9,1
0.5,0.46,86.52,34.33,23.7,29.8,1
-0.08,0.35,83.15,34.2,23.7,29.9,1
-0.34,0.25,84.53,33.98,23.7,30,1
0.59,0.27,84.54,33.77,23.7,30.2,1
-0.33,0.28,86.53,33.52,23.7,30.1,1
-0.12,0.31,83.68,33.38,23.7,30.2,1
0.07,0.32,92.61,33.32,23.7,30.2,1
0.06,0.31,97.97,33.23,23.7,30.2,1
0.21,0.32,84.65,33.13,23.7,30.3,1
0.2,0.26,89.28,32.96,23.7,30.3,1
-0.35,0.32,96.16,32.81,23.7,30.4,1
0.37,0.37,93.01,32.67,23.7,30.4,1
-0.29,0.49,95.16,32.53,23.7,30.5,1
0.43,0.71,91.87,32.27,23.7,30.6,1
-0.68,0.88,87.86,32.16,23.8,30.6,1
0.29,0.83,89.91,32.19,23.7,30.7,1
-0.31,0.83,99.26,32.16,23.7,30.6,1
0.18,0.96,92.55,32.02,23.8,30.6,1
0.2,1.01,88.36,31.95,23.8,30.7,1
-0.3,1.18,86.7,31.97,23.8,30.8,1
0.03,1.39,88.54,31.9,23.8,30.8,1
-0.01,1.47,82.12,31.87,23.8,30.9,1
0.1,1.48,81.4,31.87,23.8,30.9,1
-0.14,1.34,83.3,31.95,23.8,31,1
0.09,1.21,76.36,32.16,23.8,30.9,1
-0.46,1.28,62.15,32.34,23.8,31,1
0.29,1.23,78.62,32.49,23.8,31,1
0.19,1.43,81.87,32.58,23.8,30.9,1
-0.12,1.6,79.53,32.67,23.8,31.1,1
-0.01,1.53,78.72,32.8,23.8,31,1
0.09,1.56,81.96,32.96,23.8,31,1
0.06,1.53,81.34,33.02,23.9,31.1,1
-0.11,1.59,78.54,33.17,23.9,31.1,1
0.17,1.87,77.69,33.33,23.9,31.1,1
-0.16,1.91,77.5,33.49,23.9,31.1,1
0.03,1.86,79.41,33.53,23.9,31,1
0.03,1.84,81.8,33.6,23.9,31.2,1
0.22,1.95,81.15,33.58,23.9,31.1,1
-0.41,1.93,76.82,33.65,23.9,31.1,1
0.48,1.87,84.66,33.81,23.9,31.3,1
0.05,1.58,101.93,33.87,23.9,31.1,1
-0.16,1.2,108.04,33.82,23.9,31.3,1
-0.14,1.36,93.39,33.65,23.9,31.5,1
-0.08,1.31,88.13,33.55,23.9,31.5,1
0.05,1.06,82.53,33.48,24,32.3,1
-0.24,0.94,79.6,33.46,24,32.4,1
0.2,0.76,79.57,33.49,24,32.4,1
-0.21,0.93,79.73,33.57,24,32.5,1
0.53,1.1,79.58,33.71,24.1,32.3,1
-0.36,1.37,75.51,33.93,24.1,31.7,1
0.1,1.66,84.3,34.12,24.1,32.1,1
0.01,1.67,70.68,34.14,24.1,31.8,1
-0.12,1.31,79.16,34.09,24.1,31.8,1
0.08,1.2,85.68,34.09,24.1,31.7,1
-0.12,0.98,86.62,34.06,24.1,31.9,1
0.1,0.86,77.39,33.95,24.1,31.9,1
0.03,0.83,90.2,33.82,24.1,32,1
0.61,0.78,98.32,33.71,24.1,32,1
-0.61,0.79,93.89,33.63,24.1,31.9,1
-0.05,0.78,86.57,33.47,24.1,31.9,1
0.2,0.72,90.87,33.31,24.1,32,1
-0.17,0.77,93.17,33.13,24.1,32,1
0.09,0.97,87.67,33.03,24.1,32,1
-0.44,1.02,94.73,33.05,24.1,32.1,1
1.42,0.98,90.7,33.02,24.1,32.1,1
-1.17,0.92,77.33,32.85,24.1,32.5,1
0.11,0.66,87.19,32.62,24.1,33,1
-0.01,0.78,86.5,32.47,24.1,33,1
-0.15,0.92,84.96,32.41,24.1,33.6,1
0,0.9,84.86,32.48,24.2,32.7,1
0.09,1.1,80.62,32.55,24.2,32.6,1
0.02,1.11,78.3,32.66,24.2,32.8,1
0.24,1.08,80.72,32.79,24.2,32.7,1
-0.32,1.08,81.81,32.9,24.2,32.9,1
0.73,1.38,84.58,33.03,24.2,32.6,1
-0.73,1.28,86.26,33.16,24.2,33.3,0
0.16,0.57,86.49,33.23,24.3,32.8,0
0.1,0.64,87.4,33.39,24.3,32.8,0
-0.18,0.7,85.6,33.53,24.3,33,0
0.15,0.86,86.19,33.68,24.3,32.8,0
-0.36,0.99,86.94,33.81,24.3,33.1,0
-0.01,1.05,87.64,33.92,24.3,33.1,0
0.37,1.15,82.64,33.95,24.4,32.9,0
-0.1,1.1,85.73,33.95,24.4,33.3,0
-0.86,1.22,86.85,33.98,24.4,33.4,0
0.8,1.38,80.35,34.07,24.4,33.6,0
-0.04,1.17,84.69,34.11,24.5,33.3,0
-0.7,0.99,85.48,34.16,24.5,33.3,0
0.08,1.41,85.19,34.22,24.5,33.4,0
0.61,2.02,85.94,34.26,24.5,32.9,0
0.2,2.33,86.07,34.29,24.5,32.8,0
0.06,2.51,83.64,34.39,24.5,33,0
-0.14,2.4,81.53,34.44,24.5,32.8,0
0.13,2.03,85.25,34.43,24.5,32.8,0
-0.13,1.9,86.34,34.39,24.5,32.7,0
-0.19,1.94,88.72,34.46,24.5,32.8,0
0.05,2.22,90.55,34.58,24.5,33,0
0.1,2.2,89.7,34.63,24.6,33,0
0.12,1.94,92.6,34.71,24.6,33,0
-0.4,1.73,95.58,34.7,24.6,33,0
0.39,1.75,87.96,34.58,24.6,33,0
-0.5,1.71,95.69,34.5,24.6,33,0
0.51,2.28,98.26,34.45,24.6,33.1,0
-0.22,2.51,86.86,34.39,24.6,33.1,0
0.2,2.75,84.08,34.39,24.6,33,0
-0.06,2.97,82.49,34.47,24.6,33,0
-0.09,2.97,83.42,34.57,24.6,33,0
0.04,3.03,85.25,34.63,24.6,33.2,0
0.04,3.3,83.7,34.77,24.6,33.2,0
-0.01,3.34,85.55,34.92,24.6,33.2,0
0.05,3.2,87.21,34.99,24.6,33.3,0
-0.08,3.43,84.54,35.07,24.6,33.3,0
0.13,3.36,84.56,35.19,24.6,33.4,0
-0.14,3.37,84.8,35.29,24.6,33.3,0
-0.02,3.03,85.84,35.34,24.6,34.9,0
0.19,3.28,84.38,35.32,24.6,33.5,0
-0.23,3.7,81.26,35.33,24.7,33.3,0
0.09,3.47,81.35,35.37,24.7,33.3,0
-0.14,3.06,83.5,35.37,24.7,33.5,0
0.22,2.33,86.53,35.38,24.7,33.5,0
-0.13,1.91,84.08,35.34,24.7,33.6,0
0,1.63,80.32,35.3,24.7,33.6,0
0.04,1.52,82.84,35.26,24.7,33.5,0
0.11,1.98,85.85,35.3,24.7,33.5,0
0.21,2.44,88.35,35.43,24.7,33.5,0
-0.29,2.5,87.87,35.49,24.7,33.6,0
-0.13,2.55,83.97,35.52,24.7,33.6,0
0.1,2.77,87.7,35.59,24.7,33.6,0
-0.09,2.74,86.53,35.68,24.7,33.5,0
0.17,2.99,86.5,35.73,24.7,33.8,0
-0.07,3.23,86.94,35.71,24.7,33.7,0
-0.22,3.12,85.36,35.69,24.7,33.7,0
0.23,3.06,85.67,35.62,24.7,33.7,0
-0.01,3.08,86.94,35.67,24.7,33.7,0
-0.09,2.9,85.72,35.79,24.7,33.6,0
0.96,2.72,77.85,35.87,24.7,35.5,1
-0.86,1.98,76.91,35.81,24.8,33.9,1
0.14,2.4,85.47,35.74,24.8,34.1,1
-0.22,2.39,85.39,35.65,24.8,34.1,1
0.26,2.97,80.07,35.54,24.8,33.9,1
-0.19,2.98,78.73,35.53,24.8,33.9,1
-0.05,3.23,79.14,35.56,24.8,33.8,1
0.15,3.45,77.63,35.6,24.8,33.8,1
-0.27,3.98,77.88,35.64,24.8,33.8,1
0.26,3.84,78.15,35.71,24.8,33.8,1
-0.41,3.65,77.09,35.78,24.8,34.2,1
0.44,2.88,76.25,35.72,24.9,34.4,1
-0.01,2.96,76.06,35.66,24.9,34.3,1
-0.23,3.33,77.83,35.66,24.9,33.9,1
-0.05,3.11,78.49,35.69,24.9,34,1
0.2,3.11,79.58,35.77,24.9,34.2,1
-0.65,2.94,82.21,35.7,24.9,34,1
0.74,2.7,82.05,35.68,24.9,34.3,1
0.1,2.3,86.07,35.73,24.9,34.1,1
-0.2,2.24,84.92,35.87,24.9,34.1,1
0.13,2.22,84.28,35.91,24.9,34.2,1
-0.13,2.22,86.83,35.81,24.9,34.1,1
-0.16,1.95,84.29,35.71,24.9,34.3,1
0.13,2.79,83.09,35.73,24.9,34.2,1
0.62,3.43,86.17,35.67,24.8,34.1,1
-0.65,3.53,80.96,35.6,24.8,34.1,1
-0.1,2.8,78.28,35.48,24.7,34.3,1
0.17,2.83,75.61,35.39,24.6,34.4,1
-0.01,2.37,75.43,35.35,24.5,34.4,1
-0.44,2.74,76.41,35.33,24.4,34.7,1
0.21,2.69,75.68,35.33,24.4,34.9,1
0.21,2.74,76.6,35.34,24.3,35.1,1
0.22,2.58,77.36,35.39,24.3,35.3,1
-0.31,2.89,76.59,35.4,24.2,35.4,1
0.13,2.75,72.07,35.39,24.2,35.6,1
-0.23,2.31,78.03,35.36,24.2,35.6,1
0.17,1.88,75.93,35.29,24.2,35.5,1
-0.12,1.53,76.85,35.24,24.1,35.7,1
