BVP,EDA,HR,TEMP,Tin,Rhin,TSV
-0.1,3.28,75.82,35.1,27.6,47.6,0
0.02,3.1,75.49,35.12,27.7,47.6,0
0.12,3.05,77.39,35.13,27.7,47.6,0
-0.07,2.91,75.39,35.14,27.7,47.7,0
-0.05,2.8,77.88,35.17,27.7,47.7,0
0.18,2.83,77,35.25,27.7,47.7,0
-1.8,2.83,79.85,35.3,27.7,47.7,0
1.14,3.01,85.23,35.33,27.7,47.7,0
0.38,3.02,80.38,35.36,27.7,47.7,0
-0.05,3,78.97,35.33,27.7,47.5,0
0.04,2.94,80.67,35.32,27.7,47.5,0
0.21,2.81,82.52,35.32,27.7,47,0
-0.15,2.71,80.57,35.3,27.7,47.1,0
0.14,2.63,75.97,35.28,27.8,46.9,0
-0.14,2.61,75.84,35.26,27.8,46.3,0
0.12,2.59,76.09,35.27,27.8,46.5,0
-0.21,2.52,77.14,35.32,27.8,46.8,0
-0.03,2.81,81.96,35.35,27.8,47.1,0
0.16,3.63,80.25,35.36,27.7,47.5,0
-0.04,3.96,83.91,35.38,27.7,47.4,0
-0.24,4.07,87.32,35.37,27.7,47.4,0
0.26,4.26,86.72,35.36,27.7,47.4,0
-0.04,4.2,85.48,35.38,27.8,47.4,0
0.02,5.01,85.98,35.35,27.8,47.5,0
0.02,5.56,87.78,35.36,27.8,47.5,0
0.11,5.08,79.99,35.42,27.8,47.6,0
0.17,6.71,80.27,35.5,27.8,47.6,0
-0.15,5.76,77.24,35.54,27.8,47.6,1
-0.69,6.27,79.96,35.54,27.8,47.7,1
0.74,5.96,83.46,35.54,27.8,47.6,1
-0.52,6.11,82.31,35.58,27.8,47.6,1
0.27,6.45,83.96,35.67,27.8,47.5,1
0.07,6.64,91.53,35.66,27.8,46.4,1
0.27,6.91,88.53,35.63,27.8,46.7,1
-1.12,6.16,82.82,35.56,27.8,47,1
0.78,5.18,81.83,35.49,27.8,47.3,1
-0.18,5.72,80.33,35.49,27.8,47.6,1
0.11,5.92,83.62,35.55,27.8,47.6,1
-0.07,6.46,91.59,35.62,27.8,47.7,1
0.25,6.59,80.92,35.64,27.8,47.8,1
0.31,6.18,77.37,35.65,27.8,48,1
0.35,6.15,79.04,35.65,27.8,48.1,1
-0.76,5.6,100.54,35.59,27.8,48.1,1
0.11,5.86,100.77,35.56,27.8,48.1,1
0.04,6.02,82.56,35.54,27.8,48.3,1
0.02,6.59,84.36,35.53,27.8,48.3,1
-0.54,6.99,84.21,35.52,27.9,48.3,1
-0.64,7.34,83.56,35.6,27.9,48.3,1
1.1,7.18,76.41,35.63,27.9,48.2,1
-0.06,6.33,79.03,35.57,27.9,47.4,1
0.01,5.96,78.71,35.49,27.9,47.4,1
0.02,5.58,84.91,35.51,27.9,47.4,1
-0.28,5.11,83.94,35.51,27.9,47.3,1
0.54,4.67,72.86,35.41,27.9,47,1
-0.35,5.58,82.92,35.42,27.9,46.7,0
0.07,6.77,81.56,35.47,27.9,46.3,0
0.05,8.41,79.08,35.49,27.9,46.7,0
-0.24,8.74,80.1,35.47,27.9,46.9,0
0,9.21,83.03,35.46,27.9,47.3,0
0.25,9.71,82.27,35.47,27.9,47.5,0
-0.15,10.17,81.11,35.47,27.9,47.5,0
-0.13,10.15,84.97,35.48,27.9,47.8,0
0.02,10.32,82.86,35.5,27.9,47.9,0
0.22,10.02,87.21,35.5,27.9,47.9,0
-0.15,9.85,91.16,35.52,27.9,48,0
-0.3,10.03,85,35.56,27.9,48.1,0
0.36,9.84,82.93,35.6,27.9,48.2,0
0.31,10.94,80.4,35.56,27.9,48.3,1
-0.48,11.15,87.33,35.52,27.9,48.4,1
0.23,8.77,85.3,35.45,27.9,48.5,1
-0.1,8.75,82.27,35.4,27.9,48.5,1
0.13,8.13,85.17,35.4,27.9,48.3,1
-0.07,6.99,85.1,35.43,28,48,1
-0.13,6.64,84.72,35.49,28,48.1,1
0.01,6.65,83.7,35.56,28,47.3,1
0.06,7.15,82.59,35.56,28,47.8,1
-0.1,6.88,80.47,35.58,28,47.6,1
0.37,6.65,86.15,35.62,28,47.4,1
-0.19,5.85,88.14,35.7,28,47.2,1
-0.39,5.53,85.59,35.67,28,47.2,1
0.47,5.05,77.12,35.6,28,47.5,1
0.81,4.92,91.92,35.58,28.1,47,1
-1,4.4,93.55,35.51,28.1,46.8,1
0.03,4.14,101.92,35.48,28.2,46.5,1
1.72,4.11,94.42,35.35,28.2,46.2,1
-1.78,4.21,100.36,35.09,28.2,46.2,1
0.42,5.02,83.11,34.88,28.2,45.8,1
-0.17,4.77,77.33,34.86,28.3,45.4,1
-0.26,4.05,79.33,34.83,28.3,45.8,1
0.41,3.85,79.39,34.84,28.3,45.8,1
0.3,4.58,81.32,34.86,28.3,46.5,1
-0.79,4.55,91.24,34.94,28.3,48.8,1
-0.32,4.38,82.71,35.01,28.3,48.7,1
0.52,4.65,76.04,35.01,28.4,49.2,1
-0.46,4.39,75.52,35.07,28.4,49.8,1
0.31,4.6,90.22,35.08,28.4,50.6,1
-0.01,4.43,95.81,35.06,28.4,51.7,1
-0.43,4.14,120.38,35,28.4,52.8,1
0.6,5.05,123.89,35,28.4,52.7,1
-0.1,5.36,100.18,35.02,28.4,54.9,1
0.15,5.4,87.38,35.08,28.5,55.4,1
-1.4,5.26,101.32,35.19,28.5,56.4,1
0.76,5.5,102.62,35.26,28.5,56.6,1
0.6,4.97,104.24,35.27,28.5,56.6,1
-0.01,5.63,102.06,35.28,28.5,56.7,1
-0.09,5.52,104.16,35.33,28.5,57.1,1
0.12,5.91,105.7,35.37,28.5,57.2,1
-0.3,6.2,106.78,35.44,28.5,57.7,1
0.5,6.26,102.86,35.46,28.6,58.5,1
-0.52,7.19,94.2,35.4,28.6,58.5,1
0.41,7.95,93.06,35.36,28.6,58.8,1
-0.27,8.69,95.15,35.48,28.6,58.8,1
0.09,9.22,92.4,35.61,28.6,59.2,1
0.21,8.89,89.44,35.71,28.6,59.5,1
-0.41,7.12,86.53,35.68,28.6,59.9,1
0.51,6.19,87.82,35.71,28.6,60.4,1
-0.18,5.94,77.66,35.68,28.6,61,1
0.64,5.27,78.28,35.49,28.6,60.4,1
-0.83,4.89,84.31,35.29,28.6,60.3,1
-1.36,4.83,83.5,35.19,28.6,61.4,1
0.17,4.67,80.83,35.12,28.6,61.2,1
1.55,4.66,99.46,35.03,28.6,61,1
-0.27,4.54,99.02,34.95,28.6,60.9,1
0.65,4.68,96.25,34.96,28.7,61,1
-0.74,4.38,78.76,34.71,28.7,60.9,1
0.01,4.96,79.67,34.34,28.6,61.7,1
-0.06,6.51,101.31,34.21,28.7,62.2,1
0.22,7.93,108.2,34.44,28.7,62.6,1
-0.03,8.15,92.59,34.65,28.7,62.5,1
-0.05,8.26,90.9,34.87,28.7,62.9,1
-0.02,7.83,91.9,34.95,28.7,62.9,1
0.1,8.15,91.09,35.07,28.7,62.9,1
-0.12,8.59,92.9,35.25,28.7,62.8,1
0.05,8.95,96.57,35.34,28.7,62.8,1
0.04,9.09,91.08,35.44,28.7,62.7,1
-0.28,8.78,93.93,35.51,28.7,62.7,1
