Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.29,25.0,36,26.1,57.7,998.1,1.6,258.8,0.03,-1.1,-21.7,1.77
0.29,25.0,36,26.0,57.2,998.1,1.9,246.2,0.06,-1.0,-21.2,3.54
0.29,25.0,37,25.9,58.2,998.1,1.9,281.0,0.05,-0.9,-21.2,4.129
0.31,24.9,37,26.0,59.7,998.1,2.2,325.4,0.03,-1.1,-22.7,17.993
0.29,24.9,36,25.9,59.0,998.1,2.0,320.9,0.06,-1.0,-23.0,6.489
0.29,24.9,36,25.8,58.3,998.1,1.6,278.4,0.07,-0.9,-22.3,8.554
0.29,24.9,36,25.8,58.4,998.1,2.0,250.7,0.07,-0.9,-22.4,8.554
0.29,24.9,36,25.7,57.7,998.0,1.6,276.9,0.07,-0.8,-21.7,11.208
0.3,25.2,37,25.8,58.7,998.0,1.8,283.0,0.07,-0.6,-21.7,27.136
0.3,25.2,37,25.9,59.1,998.0,2.2,299.4,0.06,-0.7,-22.1,3.245
0.28,25.2,37,25.9,57.8,998.0,2.6,282.4,0.07,-0.7,-20.8,15.927999999999999
0.28,25.1,36,26.0,58.2,998.0,2.6,276.3,0.06,-0.9,-22.2,5.309
0.28,25.1,36,26.0,57.3,998.0,1.9,290.4,0.07,-0.9,-21.3,4.4239999999999995
0.3,25.0,36,25.8,56.0,998.0,1.5,298.6,0.06,-0.8,-20.0,4.4239999999999995
0.29,25.0,36,25.9,56.8,998.0,1.5,280.0,0.05,-0.9,-20.8,11.798
0.27,25.0,37,25.9,57.1,998.0,1.7,284.7,0.04,-0.9,-20.1,0.885
0.28,24.9,37,25.9,56.9,998.0,2.4,272.6,0.04,-1.0,-19.9,10.619000000000002
0.27,24.9,36,25.9,57.7,998.0,2.2,271.1,0.07,-1.0,-21.7,1.18
0.28,24.9,36,26.0,57.6,998.0,2.2,311.3,0.07,-1.1,-21.6,6.489
0.27,24.9,36,26.0,56.4,998.0,1.1,311.3,0.07,-1.1,-20.4,7.079
0.27,24.9,36,26.1,57.6,998.0,1.2,297.6,0.06,-1.2,-21.6,14.158
0.28,23.9,37,26.1,58.0,997.9,1.5,273.9,0.07,-2.2,-21.0,12.978
0.27,23.9,37,26.2,57.3,997.9,1.6,288.7,0.07,-2.3,-20.3,9.734
0.26,23.9,37,26.2,57.3,997.9,0.6,328.8,0.07,-2.3,-20.3,1.18
0.26,23.9,37,26.2,55.9,997.9,0.6,329.5,0.06,-2.3,-18.9,1.475
0.27,23.9,37,26.3,56.2,997.8,1.1,136.3,0.04,-2.4,-19.2,3.54
0.27,23.9,37,26.4,57.9,997.8,1.8,302.6,0.04,-2.5,-20.9,19.172
