Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.004,25.6,65,22.7,77,1015.5,0.0,293,0.0086874,2.9,-12,0.54
0.006,25.7,64,22.7,77,1015.5,0.0,293,0.0087432,3.0,-13,0.5544
0.003,25.7,64,22.7,77,1015.5,0.0,293,0.0088218,3.0,-13,0.46799999999999997
0.003,25.7,64,22.7,77,1015.7,0.0,293,0.008875200000000001,3.0,-13,0.504
0.006,25.7,64,22.7,77,1015.4,0.0,294,0.008903399999999999,3.0,-13,0.5760000000000001
0.006999999999999999,25.7,64,22.7,77,1015.7,0.0,294,0.008914799999999999,3.0,-13,0.5760000000000001
0.009000000000000001,25.7,64,22.8,77,1015.7,0.0,294,0.008935799999999999,2.9,-13,0.6048
0.006,25.7,64,22.8,76,1015.6,0.0,294,0.0089544,2.9,-12,0.5832
0.009000000000000001,25.7,64,22.9,77,1015.6,0.0,295,0.0089796,2.8,-13,0.6552
0.009000000000000001,25.7,64,22.8,77,1015.5,0.0,294,0.0090006,2.9,-13,0.648
0.008,25.7,64,22.8,77,1015.7,0.0,294,0.009023999999999999,2.9,-13,0.6408
0.006999999999999999,25.7,64,22.9,76,1015.6,0.0,294,0.009023999999999999,2.8,-12,0.5904
0.009000000000000001,25.7,64,22.9,76,1015.6,0.0,294,0.0090096,2.8,-12,0.6408
0.006,25.7,64,22.8,76,1015.7,0.0,294,0.008989200000000001,2.9,-12,0.5688
0.006,25.8,64,22.9,77,1015.5,0.0,294,0.008935799999999999,2.9,-13,0.4968
0.006999999999999999,25.8,64,23.0,76,1015.7,0.0,294,0.0088824,2.8,-12,0.5904
0.006,25.8,64,23.0,77,1015.7,0.0,294,0.0088404,2.8,-13,0.5832
0.006999999999999999,25.8,64,23.1,76,1015.5,0.0,294,0.0088194,2.7,-12,0.5976
0.01,25.8,64,23.1,76,1015.7,0.0,294,0.008791799999999999,2.7,-12,0.6408
0.01,25.8,64,23.0,76,1015.4,0.0,294,0.0087432,2.8,-12,0.7128
0.012,25.8,64,23.1,76,1015.5,0.0,294,0.0087246,2.7,-12,0.6696
0.008,25.8,64,23.0,76,1015.7,0.0,294,0.008740799999999998,2.8,-12,0.648
0.011000000000000001,25.8,64,23.0,76,1015.3,0.0,294,0.008808,2.8,-12,0.6984
0.009000000000000001,25.8,64,23.1,76,1015.4,0.0,294,0.008893799999999999,2.7,-12,0.684
0.018000000000000002,25.8,64,23.2,75,1015.3,0.0,294,0.008989200000000001,2.6,-11,0.8568
0.022000000000000002,25.8,64,23.3,75,1015.3,0.0,294,0.0090774,2.5,-11,0.9504
0.018000000000000002,25.8,64,23.2,75,1015.4,0.0,299,0.009190799999999999,2.6,-11,0.8928
0.016,25.8,64,23.1,76,1015.3,0.0,79,0.009281399999999999,2.7,-12,0.828
0.019,25.8,64,23.2,76,1015.4,0.0,79,0.009393,2.6,-12,0.9144
0.013999999999999999,25.9,64,23.2,76,1015.3,0.11,38,0.0094416,2.7,-12,0.792
0.019,25.9,64,23.1,76,1015.4,0.0,252,0.009432,2.8,-12,0.9216
0.013999999999999999,25.9,64,23.2,76,1015.3,0.0,252,0.009445799999999999,2.7,-12,0.7992
0.017,25.9,64,23.2,76,1015.3,0.0,251,0.009534,2.7,-12,0.8640000000000001
0.02,25.9,64,23.2,76,1015.3,0.0,234,0.0096318,2.7,-12,0.9504
0.016,25.9,64,23.3,76,1015.3,0.0,234,0.00975,2.6,-12,0.8496
0.015,26.0,63,23.3,76,1015.3,0.0,180,0.0098844,2.7,-13,0.828
0.019,26.0,63,23.3,76,1015.2,0.0,172,0.009975,2.7,-13,0.7559999999999999
0.013999999999999999,26.0,63,23.4,76,1015.4,0.0,172,0.010021799999999999,2.6,-13,0.7992
0.012,26.0,63,23.4,76,1015.5,0.11,316,0.0099708,2.6,-13,0.72
0.013000000000000001,26.0,63,23.3,76,1015.4,0.0,304,0.0098802,2.7,-13,0.7272
0.01,26.0,63,23.3,76,1015.4,0.0,302,0.0098382,2.7,-13,0.6984
0.013000000000000001,26.0,63,23.3,76,1015.3,0.0,302,0.009817200000000002,2.7,-13,0.7488
0.01,26.0,63,23.4,76,1015.5,0.0,304,0.009808200000000001,2.6,-13,0.72
0.017,26.0,63,23.5,76,1015.3,0.11,302,0.009843000000000001,2.5,-13,0.8496
0.011000000000000001,26.0,63,23.5,75,1015.2,0.0,301,0.0099264,2.5,-12,0.7776
0.004,26.0,63,23.5,75,1015.4,0.0,304,0.0100032,2.5,-12,0.5544
0.006999999999999999,26.0,63,23.6,75,1015.2,0.0,280,0.0101166,2.4,-12,0.54
0.002,26.0,63,23.6,75,1015.2,0.11,279,0.0102582,2.4,-12,0.4752
0.003,26.1,63,23.4,76,1015.1,0.31,277,0.0103764,2.7,-13,0.5256
0.009000000000000001,26.0,63,23.5,76,1015.2,0.0,277,0.0104484,2.5,-13,0.648
0.008,26.1,63,23.6,75,1015.4,0.0,277,0.010569,2.5,-12,0.6336
0.006999999999999999,26.1,63,23.7,75,1015.2,0.0,277,0.0107244,2.4,-12,0.5832
0.002,26.1,63,23.9,75,1015.3,0.0,277,0.010836,2.2,-12,0.4464
0.004,26.1,63,23.9,74,1015.1,0.0,277,0.010894200000000001,2.2,-11,0.4464
0.001,26.1,63,23.8,75,1015.3,0.0,278,0.01098,2.3,-12,0.4896
0.0,26.1,63,23.9,75,1015.3,0.0,278,0.011035799999999998,2.2,-12,0.324
0.004,26.1,63,23.9,75,1015.2,0.0,278,0.0110958,2.2,-12,0.5328
0.001,26.1,63,24.0,74,1015.3,0.0,278,0.011146799999999998,2.1,-11,0.3888
0.004,26.1,63,24.0,74,1015.4,0.0,278,0.0112236,2.1,-11,0.5472
0.008,26.2,63,24.1,73,1015.3,0.0,278,0.0112512,2.1,-10,0.612
0.006,26.2,63,24.1,73,1015.2,0.0,278,0.0112932,2.1,-10,0.54
0.009000000000000001,26.2,63,24.2,73,1015.1,0.0,278,0.0112698,2.0,-10,0.6192
0.011000000000000001,26.2,63,24.2,73,1015.2,0.0,278,0.011212200000000002,2.0,-10,0.6912
0.008,26.2,63,24.2,73,1015.2,0.0,278,0.011186399999999999,2.0,-10,0.6048
0.004,26.2,63,24.4,73,1015.3,0.0,278,0.011146799999999998,1.8,-10,0.5184
0.006999999999999999,26.2,63,24.5,72,1015.2,0.0,278,0.011112,1.7,-9,0.6048
0.006999999999999999,26.3,63,24.6,72,1015.2,0.0,278,0.0110748,1.7,-9,0.6048
0.008,26.3,63,24.6,72,1015.1,0.0,278,0.0110214,1.7,-9,0.6264
0.006999999999999999,26.3,63,24.7,72,1015.3,0.0,278,0.011017200000000001,1.6,-9,0.6048
0.006,26.3,63,24.5,72,1015.2,0.0,278,0.011031000000000001,1.8,-9,0.5616
0.009000000000000001,26.3,63,24.5,72,1015.2,0.0,278,0.011044799999999999,1.8,-9,0.6336
0.006,26.4,63,24.5,72,1015.0,0.0,278,0.011112,1.9,-9,0.5688
0.003,26.4,63,24.5,72,1015.0,0.0,279,0.011212200000000002,1.9,-9,0.504
0.004,26.4,63,24.5,72,1015.1,0.0,279,0.0112608,1.9,-9,0.5688
0.0,26.4,63,24.7,72,1014.9,0.0,279,0.011276999999999999,1.7,-9,0.4968
0.002,26.4,63,24.6,72,1015.2,0.0,279,0.0112188,1.8,-9,0.4104
0.002,26.4,63,24.8,72,1015.1,0.0,279,0.0111792,1.6,-9,0.3888
0.002,26.3,63,24.7,72,1015.3,0.0,279,0.0111774,1.6,-9,0.2808
0.005,26.4,63,24.8,71,1015.2,0.0,279,0.0112836,1.6,-8,0.0576
0.004,26.4,63,24.9,72,1015.2,0.0,279,0.011397599999999999,1.5,-9,0.1512
0.0,26.4,63,25.0,71,1015.2,0.0,279,0.0114906,1.4,-8,0.36
0.003,26.4,63,25.0,71,1015.1,0.0,279,0.0115554,1.4,-8,0.2232
0.003,26.4,63,25.0,71,1015.2,0.0,293,0.011634,1.4,-8,0.4752
0.004,26.4,63,24.7,72,1015.1,0.0,76,0.0116808,1.7,-9,0.54
0.004,26.4,63,24.7,72,1015.2,0.0,79,0.011676,1.7,-9,0.5184
0.003,26.4,63,24.7,72,1015.1,0.0,79,0.011604000000000001,1.7,-9,0.4464
0.002,26.4,63,24.9,71,1015.1,0.0,79,0.0114972,1.5,-8,0.2736
0.004,26.4,63,24.8,71,1015.3,0.0,79,0.011420999999999999,1.6,-8,0.4752
0.005,26.4,63,25.0,71,1015.1,0.0,79,0.0113628,1.4,-8,0.5544
0.004,26.4,63,25.0,70,1015.2,0.0,79,0.0113208,1.4,-7,0.5328
0.009000000000000001,26.4,63,25.1,70,1015.3,0.0,79,0.011274600000000001,1.3,-7,0.5832
0.008,26.4,63,25.1,70,1015.3,0.0,65,0.0112656,1.3,-7,0.6264
0.002,26.4,63,25.1,70,1015.2,0.0,66,0.0112284,1.3,-7,0.4464
0.006,26.4,63,25.2,70,1015.2,0.0,66,0.011186399999999999,1.2,-7,0.43200000000000005
0.005,26.4,63,25.2,70,1015.3,0.0,66,0.011151600000000001,1.2,-7,0.5328
0.005,26.4,63,25.2,70,1015.2,0.0,66,0.011154,1.2,-7,0.612
0.008,26.4,63,25.3,70,1015.4,0.11,64,0.011128200000000001,1.1,-7,0.5976
0.006,26.4,63,25.0,70,1015.1,0.31,265,0.011103,1.4,-7,0.5328
0.006999999999999999,26.4,63,25.0,71,1015.1,0.0,266,0.011054399999999999,1.4,-8,0.5688
0.006,26.4,63,25.1,70,1015.1,0.0,266,0.01095,1.3,-7,0.5616
0.006,26.4,63,25.2,70,1015.2,0.0,266,0.010852200000000001,1.2,-7,0.54
0.001,26.4,63,25.3,70,1015.1,0.0,266,0.010808400000000001,1.1,-7,0.4176
0.002,26.4,63,25.5,69,1015.0,0.0,266,0.0108246,0.9,-6,0.3024
0.001,26.4,63,25.6,69,1015.1,0.0,266,0.010896600000000001,0.8,-6,0.3528
0.005,26.4,63,25.5,69,1015.2,0.0,266,0.010959,0.9,-6,0.1008
0.001,26.4,63,25.6,70,1015.2,0.0,266,0.0108594,0.8,-7,0.252
0.003,26.4,63,25.5,69,1015.0,0.0,266,0.010752600000000001,0.9,-6,0.2952
0.002,26.4,63,25.4,70,1015.3,0.0,266,0.010620000000000001,1.0,-7,0.2448
0.003,26.4,63,25.4,70,1015.4,0.0,266,0.0105342,1.0,-7,0.1512
0.002,26.4,63,25.5,69,1015.2,0.0,266,0.010480799999999998,0.9,-6,0.21600000000000003
0.002,26.4,63,25.8,69,1015.4,0.0,266,0.0104022,0.6,-6,0.28800000000000003
0.003,26.4,63,25.8,69,1015.2,0.0,266,0.0103764,0.6,-6,0.1512
0.001,26.4,63,25.8,69,1015.1,0.0,266,0.010353600000000001,0.6,-6,0.2448
0.005,26.4,63,25.9,69,1015.1,0.0,266,0.010390799999999999,0.5,-6,0.0648
0.001,26.4,63,26.0,68,1015.3,0.0,266,0.0104274,0.4,-5,0.2664
0.003,26.4,63,26.0,68,1015.4,0.0,266,0.0104484,0.4,-5,0.1728
0.002,26.4,63,26.1,68,1015.1,0.0,266,0.010453200000000001,0.3,-5,0.21600000000000003
0.001,26.4,63,26.1,68,1015.4,0.0,269,0.010471799999999998,0.3,-5,0.2088
0.004,26.4,63,26.1,68,1015.2,0.0,269,0.010511399999999999,0.3,-5,0.07200000000000001
0.006999999999999999,26.4,63,25.9,69,1015.3,0.0,269,0.0106134,0.5,-6,0.0648
0.004,26.4,63,25.9,69,1015.3,0.0,268,0.010759200000000002,0.5,-6,0.0792
0.006,26.4,63,25.8,69,1015.3,0.0,357,0.0109566,0.6,-6,0.0216
0.008,26.4,63,25.9,70,1015.1,0.0,357,0.0111774,0.5,-7,0.0072
0.005,26.4,63,25.9,69,1015.1,0.0,5,0.0113766,0.5,-6,0.036000000000000004
0.003,26.4,63,25.9,69,1015.0,0.0,6,0.0115278,0.5,-6,0.1512
0.004,26.4,63,26.0,69,1015.4,0.0,6,0.011595000000000001,0.4,-6,0.0648
0.006999999999999999,26.4,63,26.0,69,1015.0,0.0,6,0.011608799999999999,0.4,-6,0.0864
0.005,26.4,62,26.2,68,1015.2,0.0,6,0.011541599999999999,0.2,-6,0.0288
0.01,26.4,62,26.3,69,1015.1,0.0,6,0.011427600000000001,0.1,-7,0.1728
0.026000000000000002,26.4,62,26.2,68,1015.3,0.0,6,0.011418600000000001,0.2,-6,0.5256
0.017,26.4,62,26.1,69,1015.3,0.0,36,0.011443799999999999,0.3,-7,0.4104
0.012,26.4,62,26.2,69,1015.1,0.0,36,0.0115368,0.2,-7,0.2592
0.012,26.4,62,26.3,68,1015.3,0.0,47,0.0115602,0.1,-6,0.2304
0.02,26.4,62,26.2,68,1015.0,0.0,46,0.011616,0.2,-6,0.4608
0.027000000000000003,26.4,62,26.1,69,1015.1,0.31,290,0.0117618,0.3,-7,0.5616
0.013000000000000001,26.4,62,26.1,69,1015.1,0.0,244,0.0119544,0.3,-7,0.2952
0.013000000000000001,26.4,62,26.2,69,1015.1,0.0,244,0.012087,0.2,-7,0.3024
0.011000000000000001,26.4,62,26.2,68,1015.0,0.0,170,0.012184200000000001,0.2,-6,0.2736
0.013000000000000001,26.4,62,26.3,68,1015.0,0.0,172,0.0122814,0.1,-6,0.2736
0.012,26.4,62,26.4,69,1015.0,0.0,172,0.0123306,0.0,-7,0.252
0.006999999999999999,26.4,62,26.5,67,1015.2,0.0,172,0.012362999999999999,-0.1,-5,0.1152
0.012,26.4,62,26.5,67,1015.1,0.0,172,0.012342,-0.1,-5,0.18
0.008,26.4,62,26.6,68,1015.1,0.0,171,0.012242399999999999,-0.2,-6,0.10800000000000001
0.011000000000000001,26.4,62,26.5,68,1014.9,0.0,147,0.0122214,-0.1,-6,0.1872
0.004,26.4,62,26.6,68,1015.0,0.0,137,0.012328200000000001,-0.2,-6,0.0
0.006999999999999999,26.4,62,26.7,67,1015.0,0.0,137,0.012444,-0.3,-5,0.0504
0.006999999999999999,26.4,62,26.6,67,1014.9,0.11,208,0.0125718,-0.2,-5,0.0936
